GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M1.6-St;M1.6;St;;;1.6;0.35
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M2-St;M2;St;;;2.0;0.4
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M2.5-St;M2.5;St;;;2.5;0.45
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M3-St;M3;St;;;3.0;0.5
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M3.5-St;M3.5;St;;;3.5;0.6
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M4-St;M4;St;;;4.0;0.7
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M5-St;M5;St;;;5.0;0.8
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M6-St;M6;St;;;6.0;1
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M8-St;M8;St;;;8.0;1.25
ISO 4036-2014;Гайка шестигранная низкая ГОСТ ISO 4036-2014-M10-St;M10;St;;;10.0;1.5
